2708710 "The Curse of the Egyptian Pyramid ""Remaster Edition""", $0.00 | Metacritic: 0 | Released: 12/3/2023 0:00 | 16 achievements | Reviews: 0 (0 +, 0 -), Score: 0
2717160 WebCraft, $0.00 | Metacritic: 0 | Released: Not Released | 0 achievements | Reviews: 0 (0 +, 0 -), Score: 0
2699870 Welcome To Eden, $0.00 | Metacritic: 0 | Released: 12/23/2024 0:00 | 0 achievements | Reviews: 0 (0 +, 0 -), Score: 0
2692950 Welcome to Planet E1d0r4d0!, $0.00 | Metacritic: 0 | Released: Not Released | 0 achievements | Reviews: 0 (0 +, 0 -), Score: 0
2704210 Wheelborn, $0.00 | Metacritic: 0 | Released: Not Released | 0 achievements | Reviews: 0 (0 +, 0 -), Score: 0
2706980 Whirlight - No Time To Trip, $0.00 | Metacritic: 0 | Released: Not Released | 0 achievements | Reviews: 0 (0 +, 0 -), Score: 0
2703140 Whispers of the sands, $0.00 | Metacritic: 0 | Released: Not Released | 0 achievements | Reviews: 0 (0 +, 0 -), Score: 0
2709980 WhiteTrick, $0.00 | Metacritic: 0 | Released: 12/15/2023 0:00 | 0 achievements | Reviews: 0 (0 +, 0 -), Score: 0
2697000 Windstorm: The Legend of Khiimori, $0.00 | Metacritic: 0 | Released: Not Released | 0 achievements | Reviews: 0 (0 +, 0 -), Score: 0
2711050 WitchGhost, $0.00 | Metacritic: 0 | Released: Not Released | 0 achievements | Reviews: 0 (0 +, 0 -), Score: 0
2695780 With Shining Eyes, $0.00 | Metacritic: 0 | Released: 5/1/2024 0:00 | 2 achievements | Reviews: 0 (0 +, 0 -), Score: 0
2697450 Wizard's Beard, $0.00 | Metacritic: 0 | Released: Not Released | 0 achievements | Reviews: 0 (0 +, 0 -), Score: 0
2711010 Wolf Survival, $0.00 | Metacritic: 0 | Released: Not Released | 0 achievements | Reviews: 0 (0 +, 0 -), Score: 0
2718310 Xstall One - eVTOL flight simulator, $0.00 | Metacritic: 0 | Released: Not Released | 0 achievements | Reviews: 0 (0 +, 0 -), Score: 0
2687650 Y2K Directive, $0.00 | Metacritic: 0 | Released: Not Released | 0 achievements | Reviews: 0 (0 +, 0 -), Score: 0
2688380 youth northbound, $0.00 | Metacritic: 0 | Released: Not Released | 0 achievements | Reviews: 0 (0 +, 0 -), Score: 0
2698550 Yukiusa, $0.00 | Metacritic: 0 | Released: 12/4/2023 0:00 | 0 achievements | Reviews: 0 (0 +, 0 -), Score: 0
2719740 Zero Caliber 2, $0.00 | Metacritic: 0 | Released: Not Released | 0 achievements | Reviews: 0 (0 +, 0 -), Score: 0
2711710 Zero Hero, $0.00 | Metacritic: 0 | Released: Not Released | 0 achievements | Reviews: 0 (0 +, 0 -), Score: 0
2687410 ライブピクト, $0.00 | Metacritic: 0 | Released: 12/22/2023 0:00 | 4 achievements | Reviews: 0 (0 +, 0 -), Score: 0
2690160 三国：我是主公, $0.00 | Metacritic: 0 | Released: 12/7/2023 0:00 | 0 achievements | Reviews: 0 (0 +, 0 -), Score: 0
2696940 东方弹幕塔防 ~ Gensokyo Chronicle, $0.00 | Metacritic: 0 | Released: Not Released | 0 achievements | Reviews: 0 (0 +, 0 -), Score: 0
2710470 午夜惊坤, $0.00 | Metacritic: 0 | Released: Not Released | 0 achievements | Reviews: 0 (0 +, 0 -), Score: 0
2712930 在捷南逃, $0.00 | Metacritic: 0 | Released: 12/17/2023 0:00 | 0 achievements | Reviews: 0 (0 +, 0 -), Score: 0
2690970 垃圾桶军团, $0.00 | Metacritic: 0 | Released: 1/23/2024 0:00 | 0 achievements | Reviews: 0 (0 +, 0 -), Score: 0
2699670 大海与你, $0.00 | Metacritic: 0 | Released: 1/12/2024 0:00 | 0 achievements | Reviews: 0 (0 +, 0 -), Score: 0
2687110 开局抽取超级天赋, $0.00 | Metacritic: 0 | Released: 2/16/2024 0:00 | 0 achievements | Reviews: 0 (0 +, 0 -), Score: 0
2701280 悟之魂:历练创作, $0.00 | Metacritic: 0 | Released: Not Released | 0 achievements | Reviews: 0 (0 +, 0 -), Score: 0
2689590 星域商旅, $0.00 | Metacritic: 0 | Released: Not Released | 0 achievements | Reviews: 0 (0 +, 0 -), Score: 0
2712730 杉木花与风信子 Fir flowers and hyacinths, $0.00 | Metacritic: 0 | Released: 12/18/2023 0:00 | 0 achievements | Reviews: 0 (0 +, 0 -), Score: 0
2697490 欺神弄鬼, $0.00 | Metacritic: 0 | Released: Not Released | 0 achievements | Reviews: 0 (0 +, 0 -), Score: 0
2718730 热血大唐, $0.00 | Metacritic: 0 | Released: 4/24/2024 0:00 | 0 achievements | Reviews: 0 (0 +, 0 -), Score: 0
2712420 迎夢　茶釜物語, $0.00 | Metacritic: 0 | Released: 3/13/2024 0:00 | 0 achievements | Reviews: 0 (0 +, 0 -), Score: 0
2691890 逐鹿战棋, $0.00 | Metacritic: 0 | Released: Not Released | 0 achievements | Reviews: 0 (0 +, 0 -), Score: 0
2706040 银雀：十三月的爱恋, $0.00 | Metacritic: 0 | Released: Not Released | 0 achievements | Reviews: 0 (0 +, 0 -), Score: 0
2717400 霓虹人生, $0.00 | Metacritic: 0 | Released: Not Released | 0 achievements | Reviews: 0 (0 +, 0 -), Score: 0
2719000 Ace Triad, $0.99 | Metacritic: 0 | Released: 1/22/2024 0:00 | 0 achievements | Reviews: 1 (1 +, 0 -), Score: 0
2704060 Ant Farm Simulator, $0.99 | Metacritic: 0 | Released: 1/5/2024 0:00 | 0 achievements | Reviews: 10 (3 +, 7 -), Score: 4
2697380 Arsenal, $0.99 | Metacritic: 0 | Released: 12/28/2023 0:00 | 0 achievements | Reviews: 4 (4 +, 0 -), Score: 0
2715660 Auto Tow Truck Simulator, $0.99 | Metacritic: 0 | Released: 12/13/2023 0:00 | 0 achievements | Reviews: 8 (8 +, 0 -), Score: 0
2715640 Autobus Park Sim, $0.99 | Metacritic: 0 | Released: 2/12/2024 0:00 | 0 achievements | Reviews: 8 (8 +, 0 -), Score: 0
2709510 Cannot Contain, $0.99 | Metacritic: 0 | Released: 3/27/2024 0:00 | 7 achievements | Reviews: 3 (3 +, 0 -), Score: 0
2690790 Christmas Present, $0.99 | Metacritic: 0 | Released: 1/6/2024 0:00 | 0 achievements | Reviews: 5 (5 +, 0 -), Score: 0
2710800 Counter Attack, $0.99 | Metacritic: 0 | Released: 12/17/2023 0:00 | 0 achievements | Reviews: 0 (0 +, 0 -), Score: 0
2716520 CRASH TEST IDIOTS 2 (MULTIPLAYER), $0.99 | Metacritic: 0 | Released: 12/14/2023 0:00 | 0 achievements | Reviews: 13 (11 +, 2 -), Score: 7
2714670 Cyan Avenger, $0.99 | Metacritic: 0 | Released: 12/15/2023 0:00 | 0 achievements | Reviews: 0 (0 +, 0 -), Score: 0
2692300 Cyber Horny, $0.99 | Metacritic: 0 | Released: 12/2/2023 0:00 | 21 achievements | Reviews: 26 (25 +, 1 -), Score: 7
2693340 DARK FOREST, $0.99 | Metacritic: 0 | Released: 12/20/2023 0:00 | 0 achievements | Reviews: 3 (2 +, 1 -), Score: 0
2700060 DarkAndLight, $0.99 | Metacritic: 0 | Released: 12/26/2023 0:00 | 0 achievements | Reviews: 2 (0 +, 2 -), Score: 0
2716190 Dungeons of Dragons, $0.99 | Metacritic: 0 | Released: 12/22/2023 0:00 | 0 achievements | Reviews: 1 (0 +, 1 -), Score: 0
2690980 Fire Guardian, $0.99 | Metacritic: 0 | Released: 12/19/2023 0:00 | 7 achievements | Reviews: 0 (0 +, 0 -), Score: 0
2693210 Hentai Tales: Sex Parlor Report, $0.99 | Metacritic: 0 | Released: 3/7/2024 0:00 | 20 achievements | Reviews: 9 (7 +, 2 -), Score: 0
2712340 Hentai Tales: Succubus Utopia, $0.99 | Metacritic: 0 | Released: 1/15/2024 0:00 | 20 achievements | Reviews: 8 (7 +, 1 -), Score: 0
2719960 Hotdog Kitchen, $0.99 | Metacritic: 0 | Released: 4/4/2024 | 8 achievements | Reviews: 3 (3 +, 0 -), Score: 0
2698560 Hotel in the Dark, $0.99 | Metacritic: 0 | Released: 12/7/2023 0:00 | 0 achievements | Reviews: 15 (10 +, 5 -), Score: 5
2718710 It Mimics, $0.99 | Metacritic: 0 | Released: 12/25/2023 0:00 | 0 achievements | Reviews: 5 (3 +, 2 -), Score: 0
2693700 Jewel Craft Fusion, $0.99 | Metacritic: 0 | Released: 12/2/2023 0:00 | 0 achievements | Reviews: 2 (2 +, 0 -), Score: 0
2719460 JK Puzzle, $0.99 | Metacritic: 0 | Released: 1/9/2024 | 0 achievements | Reviews: 1 (1 +, 0 -), Score: 0
2703170 Jump Penguin Final, $0.99 | Metacritic: 0 | Released: 1/1/2024 0:00 | 0 achievements | Reviews: 0 (0 +, 0 -), Score: 0
2711240 Kingdom of Bärn, $0.99 | Metacritic: 0 | Released: 12/18/2023 0:00 | 0 achievements | Reviews: 14 (11 +, 3 -), Score: 6
2690780 Mad Jyacer, $0.99 | Metacritic: 0 | Released: 11/25/2023 0:00 | 0 achievements | Reviews: 1 (1 +, 0 -), Score: 0
2703150 MelodyJourney, $0.99 | Metacritic: 0 | Released: 10/31/2024 0:00 | 0 achievements | Reviews: 0 (0 +, 0 -), Score: 0
2717080 Merry XMerge, $0.99 | Metacritic: 0 | Released: 12/25/2023 0:00 | 0 achievements | Reviews: 522 (510 +, 12 -), Score: 9
2718460 Mortui: Outbreak Secrets, $0.99 | Metacritic: 0 | Released: 2/19/2024 0:00 | 0 achievements | Reviews: 4 (3 +, 1 -), Score: 0
2714270 MY ANIMA BOY, $0.99 | Metacritic: 0 | Released: 2/5/2024 0:00 | 10 achievements | Reviews: 1 (1 +, 0 -), Score: 0
2692390 My Girls’ Secrets, $0.99 | Metacritic: 0 | Released: 12/4/2023 0:00 | 0 achievements | Reviews: 1 (0 +, 1 -), Score: 0
2704370 Nafanya the Poltergeist, $0.99 | Metacritic: 0 | Released: 12/6/2023 0:00 | 0 achievements | Reviews: 5 (1 +, 4 -), Score: 0
2704460 Neon Geometry Dash, $0.99 | Metacritic: 0 | Released: 12/17/2023 0:00 | 0 achievements | Reviews: 8 (7 +, 1 -), Score: 0
2693450 Not Burned Evil, $0.99 | Metacritic: 0 | Released: 12/2/2023 0:00 | 0 achievements | Reviews: 1 (1 +, 0 -), Score: 0
2703690 Not Enough Space, $0.99 | Metacritic: 0 | Released: 9/6/2024 0:00 | 0 achievements | Reviews: 2 (0 +, 2 -), Score: 0
2715000 OG Memory:  Fall 2K23, $0.99 | Metacritic: 0 | Released: 12/20/2023 0:00 | 100 achievements | Reviews: 0 (0 +, 0 -), Score: 0
2714900 OG Puzzlers: Fall 2K23, $0.99 | Metacritic: 0 | Released: 12/20/2023 0:00 | 100 achievements | Reviews: 0 (0 +, 0 -), Score: 0
2692720 OG Puzzlers: Kira Maus, $0.99 | Metacritic: 0 | Released: 12/5/2023 0:00 | 100 achievements | Reviews: 0 (0 +, 0 -), Score: 0
2690050 ORB IN WONDER, $0.99 | Metacritic: 0 | Released: 12/2/2023 0:00 | 0 achievements | Reviews: 0 (0 +, 0 -), Score: 0
2712960 Palm Simulator, $0.99 | Metacritic: 0 | Released: 11/8/2024 0:00 | 5 achievements | Reviews: 2 (2 +, 0 -), Score: 0
2698910 Pet Rock Duty, $0.99 | Metacritic: 0 | Released: 12/27/2023 0:00 | 0 achievements | Reviews: 11 (11 +, 0 -), Score: 7
2689490 phantom unit 999, $0.99 | Metacritic: 0 | Released: 12/25/2023 0:00 | 0 achievements | Reviews: 0 (0 +, 0 -), Score: 0
2690960 Piece Link, $0.99 | Metacritic: 0 | Released: 3/11/2024 0:00 | 0 achievements | Reviews: 3 (3 +, 0 -), Score: 0
2695420 Protecto, $0.99 | Metacritic: 0 | Released: 1/5/2024 0:00 | 0 achievements | Reviews: 0 (0 +, 0 -), Score: 0
2699950 Rated Sudoku, $0.99 | Metacritic: 0 | Released: 12/11/2023 0:00 | 9 achievements | Reviews: 0 (0 +, 0 -), Score: 0
2704030 School Curse, $0.99 | Metacritic: 0 | Released: 12/9/2023 0:00 | 0 achievements | Reviews: 1 (1 +, 0 -), Score: 0
2719210 Slime Link, $0.99 | Metacritic: 0 | Released: 12/21/2023 | 34 achievements | Reviews: 1 (1 +, 0 -), Score: 0
2691390 Smoking Simulator, $0.99 | Metacritic: 0 | Released: 12/1/2023 0:00 | 2 achievements | Reviews: 27 (25 +, 2 -), Score: 7
2695730 Sofi Origins, $0.99 | Metacritic: 0 | Released: 12/5/2023 0:00 | 1 achievements | Reviews: 3 (1 +, 2 -), Score: 0
2696520 Something, $0.99 | Metacritic: 0 | Released: 1/12/2024 0:00 | 0 achievements | Reviews: 79 (75 +, 4 -), Score: 8
2713430 Soulmaze, $0.99 | Metacritic: 0 | Released: 3/10/2024 0:00 | 4 achievements | Reviews: 2 (2 +, 0 -), Score: 0
2687820 StoicScape, $0.99 | Metacritic: 0 | Released: 8/21/2024 0:00 | 16 achievements | Reviews: 1 (1 +, 0 -), Score: 0
2715180 Summon My Girl, $0.99 | Metacritic: 0 | Released: 12/14/2023 0:00 | 0 achievements | Reviews: 1 (1 +, 0 -), Score: 0
2701340 The Last 66 Days, $0.99 | Metacritic: 0 | Released: 12/31/2023 0:00 | 0 achievements | Reviews: 0 (0 +, 0 -), Score: 0
2688100 Token Town, $0.99 | Metacritic: 0 | Released: 12/12/2023 0:00 | 5 achievements | Reviews: 4 (4 +, 0 -), Score: 0
2703930 Twin Stick, $0.99 | Metacritic: 0 | Released: 12/30/2023 0:00 | 28 achievements | Reviews: 1 (1 +, 0 -), Score: 0
2693070 WARPZONE DRIFTER 2, $0.99 | Metacritic: 0 | Released: 11/28/2023 0:00 | 6 achievements | Reviews: 10 (9 +, 1 -), Score: 7
2704070 WaterMelon Mosikkaeng, $0.99 | Metacritic: 0 | Released: 1/20/2024 0:00 | 2 achievements | Reviews: 1 (1 +, 0 -), Score: 0
2715980 What if your girl was a frog 2, $0.99 | Metacritic: 0 | Released: 2/9/2024 0:00 | 12 achievements | Reviews: 10 (8 +, 2 -), Score: 7
2716870 Zodiac Landing, $0.99 | Metacritic: 0 | Released: 12/25/2023 0:00 | 0 achievements | Reviews: 1 (0 +, 1 -), Score: 0
2690760 Zopa, $0.99 | Metacritic: 0 | Released: 5/4/2024 0:00 | 5 achievements | Reviews: 5 (4 +, 1 -), Score: 0
2719580 勇者の伝説の勇者, $0.99 | Metacritic: 0 | Released: 1/4/2024 | 0 achievements | Reviews: 0 (0 +, 0 -), Score: 0
2712540 完蛋！我也能追到美女了！, $0.99 | Metacritic: 0 | Released: 12/28/2023 0:00 | 13 achievements | Reviews: 7 (6 +, 1 -), Score: 0
2693160 赛博撤锁, $0.99 | Metacritic: 0 | Released: 1/25/2024 0:00 | 0 achievements | Reviews: 0 (0 +, 0 -), Score: 0
2696430 Game Tester Quest, $1.00 | Metacritic: 0 | Released: 1/22/2024 0:00 | 0 achievements | Reviews: 0 (0 +, 0 -), Score: 0
2716780 Total Control, $1.00 | Metacritic: 0 | Released: 1/10/2024 0:00 | 0 achievements | Reviews: 5 (2 +, 3 -), Score: 0
2699880 Fairies Love, $1.19 | Metacritic: 0 | Released: 12/18/2023 0:00 | 10 achievements | Reviews: 2 (1 +, 1 -), Score: 0
2698090 Gachi Feasting, $1.29 | Metacritic: 0 | Released: 6/20/2024 0:00 | 9 achievements | Reviews: 3 (3 +, 0 -), Score: 0
2688940 Buzz Cut Simulation, $1.90 | Metacritic: 0 | Released: 11/30/2023 0:00 | 0 achievements | Reviews: 1 (1 +, 0 -), Score: 0
2694890 ANNIHILATOR, $1.99 | Metacritic: 0 | Released: 12/4/2023 0:00 | 0 achievements | Reviews: 0 (0 +, 0 -), Score: 0
2691010 Assembly Line 2 Mobile Version, $1.99 | Metacritic: 0 | Released: 11/30/2023 0:00 | 0 achievements | Reviews: 16 (13 +, 3 -), Score: 7
2706050 Beach Girl Block Crush!!, $1.99 | Metacritic: 0 | Released: 2/16/2024 0:00 | 10 achievements | Reviews: 1 (1 +, 0 -), Score: 0
2710590 Black silk girl, $1.99 | Metacritic: 0 | Released: 1/29/2024 0:00 | 0 achievements | Reviews: 0 (0 +, 0 -), Score: 0
2698300 Cat Sandbox, $1.99 | Metacritic: 0 | Released: 12/5/2023 0:00 | 10 achievements | Reviews: 10 (10 +, 0 -), Score: 7
2694560 Chrono-Shift, $1.99 | Metacritic: 0 | Released: 6/22/2024 0:00 | 1 achievements | Reviews: 1 (0 +, 1 -), Score: 0
2693480 Color Splash: Animals, $1.99 | Metacritic: 0 | Released: 11/28/2023 0:00 | 100 achievements | Reviews: 3 (2 +, 1 -), Score: 0
2704870 Crying Alone, $1.99 | Metacritic: 0 | Released: 12/21/2023 0:00 | 1 achievements | Reviews: 3 (1 +, 2 -), Score: 0
2706320 Cute girl with uncle's leisure time, $1.99 | Metacritic: 0 | Released: 1/22/2024 0:00 | 0 achievements | Reviews: 1 (1 +, 0 -), Score: 0
2698160 DOOL, $1.99 | Metacritic: 0 | Released: 1/14/2024 0:00 | 7 achievements | Reviews: 0 (0 +, 0 -), Score: 0
2700910 Emi - Christmas Special, $1.99 | Metacritic: 0 | Released: 1/12/2024 0:00 | 13 achievements | Reviews: 19 (18 +, 1 -), Score: 7
2707100 Gaia's Blessing, $1.99 | Metacritic: 0 | Released: 12/18/2023 0:00 | 0 achievements | Reviews: 1 (1 +, 0 -), Score: 0
2687080 Gentle Female Boss 温柔女上司, $1.99 | Metacritic: 0 | Released: 12/1/2023 0:00 | 0 achievements | Reviews: 3 (1 +, 2 -), Score: 0
2709990 Good Morning Cruel City, $1.99 | Metacritic: 0 | Released: 12/15/2023 0:00 | 0 achievements | Reviews: 7 (7 +, 0 -), Score: 0
2706830 Gun Fighting, $1.99 | Metacritic: 0 | Released: 12/17/2023 0:00 | 0 achievements | Reviews: 0 (0 +, 0 -), Score: 0
2711680 GymFistprint, $1.99 | Metacritic: 0 | Released: 1/8/2024 0:00 | 0 achievements | Reviews: 2 (1 +, 1 -), Score: 0
2694440 Hentai Girls Slide, $1.99 | Metacritic: 0 | Released: 2/1/2024 0:00 | 100 achievements | Reviews: 1 (1 +, 0 -), Score: 0
2714600 Hidden Capybaras with Orange, $1.99 | Metacritic: 0 | Released: 12/20/2023 0:00 | 10 achievements | Reviews: 68 (68 +, 0 -), Score: 8
2688720 Hidden Cats: Magic Forest, $1.99 | Metacritic: 0 | Released: 12/8/2023 0:00 | 20 achievements | Reviews: 29 (20 +, 9 -), Score: 5
2715090 HIP GAME, $1.99 | Metacritic: 0 | Released: 12/7/2023 0:00 | 0 achievements | Reviews: 9 (9 +, 0 -), Score: 0
2719300 Honey Homer RPS, $1.99 | Metacritic: 0 | Released: 1/24/2024 | 0 achievements | Reviews: 1 (1 +, 0 -), Score: 0
2688520 Hrumka, $1.99 | Metacritic: 0 | Released: 9/18/2024 0:00 | 0 achievements | Reviews: 0 (0 +, 0 -), Score: 0
2694410 MDF Magical Defense Force Chapters 10-18, $1.99 | Metacritic: 0 | Released: 12/30/2023 0:00 | 10 achievements | Reviews: 0 (0 +, 0 -), Score: 0
2695960 Memories of Glass Maiden, $1.99 | Metacritic: 0 | Released: 2/21/2024 0:00 | 0 achievements | Reviews: 0 (0 +, 0 -), Score: 0
2717240 Neon Fantasy: Predators, $1.99 | Metacritic: 0 | Released: 12/14/2023 0:00 | 100 achievements | Reviews: 0 (0 +, 0 -), Score: 0
2717140 No Way Out, $1.99 | Metacritic: 0 | Released: 12/15/2023 0:00 | 0 achievements | Reviews: 3 (1 +, 2 -), Score: 0
2704910 Onsui, $1.99 | Metacritic: 0 | Released: 12/12/2023 0:00 | 0 achievements | Reviews: 1 (1 +, 0 -), Score: 0
2717000 Operation Save the Girl: Code X, $1.99 | Metacritic: 0 | Released: 2/18/2024 0:00 | 0 achievements | Reviews: 2 (1 +, 1 -), Score: 0
2693360 Probot Soccer, $1.99 | Metacritic: 0 | Released: 11/29/2023 0:00 | 0 achievements | Reviews: 5 (5 +, 0 -), Score: 0
2707960 Quantum Drive, $1.99 | Metacritic: 0 | Released: 4/1/2024 0:00 | 2 achievements | Reviews: 3 (2 +, 1 -), Score: 0
2688530 Rank · Boss · Bullets, $1.99 | Metacritic: 0 | Released: 12/11/2023 0:00 | 0 achievements | Reviews: 0 (0 +, 0 -), Score: 0
2704300 Red Green Donkey, $1.99 | Metacritic: 0 | Released: 12/11/2023 0:00 | 0 achievements | Reviews: 0 (0 +, 0 -), Score: 0
2707500 ROKO'S BASILISK, $1.99 | Metacritic: 0 | Released: 1/5/2024 0:00 | 3 achievements | Reviews: 15 (14 +, 1 -), Score: 7
2694730 Samurai`s Way, $1.99 | Metacritic: 0 | Released: 2/20/2024 0:00 | 22 achievements | Reviews: 2 (2 +, 0 -), Score: 0
2718070 SEARCH ALL - SNAILS, $1.99 | Metacritic: 0 | Released: 12/18/2023 0:00 | 10 achievements | Reviews: 3 (3 +, 0 -), Score: 0
2709380 Secret Missions, $1.99 | Metacritic: 0 | Released: 1/8/2024 0:00 | 0 achievements | Reviews: 0 (0 +, 0 -), Score: 0
2709940 Shhh!, $1.99 | Metacritic: 0 | Released: 12/11/2023 0:00 | 2 achievements | Reviews: 84 (63 +, 21 -), Score: 6
2712880 Simulator Of A Person Who Is Taking Online Course To Study How To Lose Weight, $1.99 | Metacritic: 0 | Released: 2/26/2024 0:00 | 13 achievements | Reviews: 1 (0 +, 1 -), Score: 0
2690570 Sprite Wars, $1.99 | Metacritic: 0 | Released: 2/24/2024 0:00 | 8 achievements | Reviews: 0 (0 +, 0 -), Score: 0
2696360 Stray：Exotic, $1.99 | Metacritic: 0 | Released: 1/24/2024 0:00 | 7 achievements | Reviews: 2 (2 +, 0 -), Score: 0
2701400 Sugar Jar, $1.99 | Metacritic: 0 | Released: 2/12/2024 0:00 | 0 achievements | Reviews: 2 (2 +, 0 -), Score: 0
2694530 The Cat, $1.99 | Metacritic: 0 | Released: 4/14/2024 0:00 | 0 achievements | Reviews: 2 (2 +, 0 -), Score: 0
2691760 The Chronicles of Ezra Blackwell: Episode 1 Pappi's Peril, $1.99 | Metacritic: 0 | Released: 1/14/2024 0:00 | 0 achievements | Reviews: 2 (2 +, 0 -), Score: 0
2698990 The Witches Pond, $1.99 | Metacritic: 0 | Released: 12/7/2023 0:00 | 16 achievements | Reviews: 3 (2 +, 1 -), Score: 0
2717600 Tipsy Rescue, $1.99 | Metacritic: 0 | Released: 2/24/2024 0:00 | 0 achievements | Reviews: 0 (0 +, 0 -), Score: 0
2689610 Trust No One, $1.99 | Metacritic: 0 | Released: 3/27/2024 0:00 | 7 achievements | Reviews: 27 (14 +, 13 -), Score: 5
2704230 Twizzle Puzzle: Cats, $1.99 | Metacritic: 0 | Released: 12/6/2023 0:00 | 100 achievements | Reviews: 0 (0 +, 0 -), Score: 0
2703550 Vigaro Runner, $1.99 | Metacritic: 0 | Released: 12/7/2023 0:00 | 16 achievements | Reviews: 10 (8 +, 2 -), Score: 7
2717810 Void Wizard, $1.99 | Metacritic: 0 | Released: 4/12/2024 0:00 | 23 achievements | Reviews: 32 (32 +, 0 -), Score: 7
2690680 What games does your dad play - 你老豆玩乜GAME, $1.99 | Metacritic: 0 | Released: 11/30/2023 0:00 | 30 achievements | Reviews: 0 (0 +, 0 -), Score: 0
2699200 XP Racing, $1.99 | Metacritic: 0 | Released: 4/6/2024 0:00 | 0 achievements | Reviews: 1 (1 +, 0 -), Score: 0
2688400 You Draw I Guess, $1.99 | Metacritic: 0 | Released: 1/18/2024 0:00 | 60 achievements | Reviews: 3 (3 +, 0 -), Score: 0
2699740 Your Majesty, $1.99 | Metacritic: 0 | Released: 3/27/2024 0:00 | 1 achievements | Reviews: 0 (0 +, 0 -), Score: 0
2709920 六面∞臂（Rokumenhappi）, $1.99 | Metacritic: 0 | Released: 2/28/2024 0:00 | 0 achievements | Reviews: 0 (0 +, 0 -), Score: 0
2716800 勇者mini, $1.99 | Metacritic: 0 | Released: 12/28/2023 0:00 | 11 achievements | Reviews: 0 (0 +, 0 -), Score: 0
2717050 幸存者幻想曲 Survivor Fantasia, $1.99 | Metacritic: 0 | Released: 2/17/2024 0:00 | 31 achievements | Reviews: 4 (4 +, 0 -), Score: 0
2706670 森林守护战棋 Forest Guardian Battle Chess, $1.99 | Metacritic: 0 | Released: 12/11/2023 0:00 | 3 achievements | Reviews: 0 (0 +, 0 -), Score: 0
2718820 Boundless Skies, $2.00 | Metacritic: 0 | Released: 12/20/2023 0:00 | 0 achievements | Reviews: 0 (0 +, 0 -), Score: 0
2712900 TAXI TAXI TAXI, $2.00 | Metacritic: 0 | Released: 12/20/2023 0:00 | 0 achievements | Reviews: 0 (0 +, 0 -), Score: 0
2695080 Purrfectly Hidden Cats - Kittenbay, $2.49 | Metacritic: 0 | Released: 2/1/2024 0:00 | 53 achievements | Reviews: 60 (59 +, 1 -), Score: 8
2707420 3D Watermelon Game, $2.99 | Metacritic: 0 | Released: 12/7/2023 0:00 | 14 achievements | Reviews: 1 (1 +, 0 -), Score: 0
2704110 Aliya: Timelink, $2.99 | Metacritic: 0 | Released: 4/25/2024 0:00 | 5 achievements | Reviews: 37 (36 +, 1 -), Score: 7
2705500 Apple Hero, $2.99 | Metacritic: 0 | Released: 2/15/2024 0:00 | 0 achievements | Reviews: 1 (1 +, 0 -), Score: 0
2691830 ASTRA, $2.99 | Metacritic: 0 | Released: 1/5/2024 0:00 | 10 achievements | Reviews: 16 (14 +, 2 -), Score: 7
2719400 BadDool, $2.99 | Metacritic: 0 | Released: 6/24/2024 | 12 achievements | Reviews: 17 (16 +, 1 -), Score: 7
2710790 Battle of Fate, $2.99 | Metacritic: 0 | Released: 12/17/2023 0:00 | 0 achievements | Reviews: 0 (0 +, 0 -), Score: 0
2718700 Bubble Wrap, $2.99 | Metacritic: 0 | Released: 9/19/2024 0:00 | 9 achievements | Reviews: 3 (3 +, 0 -), Score: 0
2687510 Centrist, $2.99 | Metacritic: 0 | Released: 12/14/2023 0:00 | 30 achievements | Reviews: 4 (4 +, 0 -), Score: 0
2693840 Choc N Roll, $2.99 | Metacritic: 0 | Released: 1/18/2024 0:00 | 20 achievements | Reviews: 4 (4 +, 0 -), Score: 0
2716530 College Sex - Episode 5, $2.99 | Metacritic: 0 | Released: 12/2/2023 0:00 | 2 achievements | Reviews: 1 (1 +, 0 -), Score: 0
2710390 DANGER ZONE BOMBER, $2.99 | Metacritic: 0 | Released: 12/19/2023 0:00 | 20 achievements | Reviews: 1 (1 +, 0 -), Score: 0
2712720 Depths of Darkness, $2.99 | Metacritic: 0 | Released: 9/19/2024 0:00 | 7 achievements | Reviews: 1 (1 +, 0 -), Score: 0
2700250 Dodo, $2.99 | Metacritic: 0 | Released: 4/15/2024 0:00 | 31 achievements | Reviews: 5 (5 +, 0 -), Score: 0
2717250 Don't Melt the Snowman, $2.99 | Metacritic: 0 | Released: 12/25/2023 0:00 | 0 achievements | Reviews: 1 (1 +, 0 -), Score: 0
2713520 Dorei Same, $2.99 | Metacritic: 0 | Released: 9/25/2024 0:00 | 8 achievements | Reviews: 1 (1 +, 0 -), Score: 0
2717110 Fifteen, $2.99 | Metacritic: 0 | Released: 12/20/2023 0:00 | 0 achievements | Reviews: 0 (0 +, 0 -), Score: 0
2707740 Garden Warfare: Crab Invasion, $2.99 | Metacritic: 0 | Released: 7/12/2024 0:00 | 19 achievements | Reviews: 1 (1 +, 0 -), Score: 0
2710410 Genius Moves!, $2.99 | Metacritic: 0 | Released: 12/20/2023 0:00 | 0 achievements | Reviews: 2 (2 +, 0 -), Score: 0
2697250 Gran Carismo, $2.99 | Metacritic: 0 | Released: 2/19/2024 0:00 | 0 achievements | Reviews: 3 (2 +, 1 -), Score: 0
