2585660 "Atlantis Heroes ""Rise of the Lost Land""", $0.00 | Metacritic: 0 | Released: Not Released | 0 achievements | Reviews: 0 (0 +, 0 -), Score: 0
2565210 Mountain Bicycle Rider Simulator, $0.99 | Metacritic: 0 | Released: 9/6/2023 0:00 | 0 achievements | Reviews: 2 (0 +, 2 -), Score: 0
2660120 Mr.Chip, $0.99 | Metacritic: 0 | Released: 4/14/2024 0:00 | 6 achievements | Reviews: 0 (0 +, 0 -), Score: 0
2684850 MULTIPLAYER BOTS, $0.99 | Metacritic: 0 | Released: 11/21/2023 0:00 | 0 achievements | Reviews: 3 (3 +, 0 -), Score: 0
2681180 MULTIPLAYER CAVEMEN, $0.99 | Metacritic: 0 | Released: 11/18/2023 0:00 | 0 achievements | Reviews: 98 (78 +, 20 -), Score: 6
2613250 Multiplayer Drone Simulator, $0.99 | Metacritic: 0 | Released: 10/5/2023 0:00 | 0 achievements | Reviews: 1 (0 +, 1 -), Score: 0
2668760 MULTIPLAYER OBBY, $0.99 | Metacritic: 0 | Released: 11/9/2023 0:00 | 0 achievements | Reviews: 3 (3 +, 0 -), Score: 0
2522760 Music Man 2: New land, $0.99 | Metacritic: 0 | Released: 8/2/2023 0:00 | 4 achievements | Reviews: 11 (9 +, 2 -), Score: 7
2623690 Mutant Frog, $0.99 | Metacritic: 0 | Released: 1/27/2024 0:00 | 0 achievements | Reviews: 0 (0 +, 0 -), Score: 0
2714270 MY ANIMA BOY, $0.99 | Metacritic: 0 | Released: 2/5/2024 0:00 | 10 achievements | Reviews: 1 (1 +, 0 -), Score: 0
2692390 My Girls’ Secrets, $0.99 | Metacritic: 0 | Released: 12/4/2023 0:00 | 0 achievements | Reviews: 1 (0 +, 1 -), Score: 0
2704370 Nafanya the Poltergeist, $0.99 | Metacritic: 0 | Released: 12/6/2023 0:00 | 0 achievements | Reviews: 5 (1 +, 4 -), Score: 0
2642050 Naga Girls, $0.99 | Metacritic: 0 | Released: 10/25/2023 0:00 | 1 achievements | Reviews: 1 (1 +, 0 -), Score: 0
2642090 Naughty Queens, $0.99 | Metacritic: 0 | Released: 10/26/2023 0:00 | 40 achievements | Reviews: 1 (1 +, 0 -), Score: 0
2674040 NBody Gravitation, $0.99 | Metacritic: 0 | Released: 11/24/2023 0:00 | 0 achievements | Reviews: 3 (3 +, 0 -), Score: 0
2630900 Neon City Climbing Simulator, $0.99 | Metacritic: 0 | Released: 10/19/2023 0:00 | 0 achievements | Reviews: 0 (0 +, 0 -), Score: 0
2704460 Neon Geometry Dash, $0.99 | Metacritic: 0 | Released: 12/17/2023 0:00 | 0 achievements | Reviews: 8 (7 +, 1 -), Score: 0
2672780 New Zealand Jigsaw Puzzles, $0.99 | Metacritic: 0 | Released: 11/14/2023 0:00 | 16 achievements | Reviews: 0 (0 +, 0 -), Score: 0
2644550 New Zombie, $0.99 | Metacritic: 0 | Released: 11/13/2023 0:00 | 0 achievements | Reviews: 1 (1 +, 0 -), Score: 0
2611800 Nightrunner, $0.99 | Metacritic: 0 | Released: 9/17/2024 0:00 | 0 achievements | Reviews: 11 (11 +, 0 -), Score: 7
2673720 Nightscape City, $0.99 | Metacritic: 0 | Released: 12/1/2023 0:00 | 0 achievements | Reviews: 2 (1 +, 1 -), Score: 0
2644520 Nightwatch, $0.99 | Metacritic: 0 | Released: 12/18/2023 0:00 | 0 achievements | Reviews: 16 (6 +, 10 -), Score: 4
2653530 No.HazedHeart, $0.99 | Metacritic: 0 | Released: 2/4/2024 0:00 | 25 achievements | Reviews: 7 (7 +, 0 -), Score: 0
2602110 Noah's Descent into Madness, $0.99 | Metacritic: 0 | Released: 9/29/2023 0:00 | 13 achievements | Reviews: 3 (3 +, 0 -), Score: 0
2640050 Norwegian Jigsaw Puzzles, $0.99 | Metacritic: 0 | Released: 10/26/2023 0:00 | 16 achievements | Reviews: 1 (1 +, 0 -), Score: 0
2693450 Not Burned Evil, $0.99 | Metacritic: 0 | Released: 12/2/2023 0:00 | 0 achievements | Reviews: 1 (1 +, 0 -), Score: 0
2703690 Not Enough Space, $0.99 | Metacritic: 0 | Released: 9/6/2024 0:00 | 0 achievements | Reviews: 2 (0 +, 2 -), Score: 0
2565260 NOTICE, $0.99 | Metacritic: 0 | Released: 12/1/2023 0:00 | 0 achievements | Reviews: 17 (17 +, 0 -), Score: 7
2570950 NURTOPU, $0.99 | Metacritic: 0 | Released: 10/2/2023 0:00 | 0 achievements | Reviews: 6 (6 +, 0 -), Score: 0
1035930 Nyasha, $0.99 | Metacritic: 0 | Released: 3/6/2019 0:00 | 32 achievements | Reviews: 101 (83 +, 18 -), Score: 8
1042080 Nyasha Beach, $0.99 | Metacritic: 0 | Released: 3/27/2019 0:00 | 32 achievements | Reviews: 9 (6 +, 3 -), Score: 0
1058350 Nyasha Land of Elves, $0.99 | Metacritic: 0 | Released: 4/13/2019 0:00 | 32 achievements | Reviews: 29 (21 +, 8 -), Score: 6
1042030 Nyasha Winter, $0.99 | Metacritic: 0 | Released: 3/22/2019 0:00 | 32 achievements | Reviews: 10 (8 +, 2 -), Score: 7
2571540 Obesity Simulator, $0.99 | Metacritic: 0 | Released: 9/14/2023 0:00 | 0 achievements | Reviews: 3 (3 +, 0 -), Score: 0
1052470 OFFICE ESCAPE, $0.99 | Metacritic: 0 | Released: 4/15/2019 0:00 | 0 achievements | Reviews: 1 (0 +, 1 -), Score: 0
2657220 Office Nightmare Chapter 1 Alpha, $0.99 | Metacritic: 0 | Released: 1/8/2024 0:00 | 0 achievements | Reviews: 0 (0 +, 0 -), Score: 0
2715000 OG Memory:  Fall 2K23, $0.99 | Metacritic: 0 | Released: 12/20/2023 0:00 | 100 achievements | Reviews: 0 (0 +, 0 -), Score: 0
2714900 OG Puzzlers: Fall 2K23, $0.99 | Metacritic: 0 | Released: 12/20/2023 0:00 | 100 achievements | Reviews: 0 (0 +, 0 -), Score: 0
2692720 OG Puzzlers: Kira Maus, $0.99 | Metacritic: 0 | Released: 12/5/2023 0:00 | 100 achievements | Reviews: 0 (0 +, 0 -), Score: 0
2673380 OG Puzzlers: Synthwave Boats, $0.99 | Metacritic: 0 | Released: 3/16/2024 0:00 | 100 achievements | Reviews: 1 (0 +, 1 -), Score: 0
2659700 OG Puzzlers: Synthwave Cars, $0.99 | Metacritic: 0 | Released: 2/1/2024 0:00 | 100 achievements | Reviews: 0 (0 +, 0 -), Score: 0
1043790 Ogrez, $0.99 | Metacritic: 0 | Released: 6/19/2019 0:00 | 6 achievements | Reviews: 0 (0 +, 0 -), Score: 0
1044220 Oik Reloaded, $0.99 | Metacritic: 0 | Released: 6/25/2020 0:00 | 60 achievements | Reviews: 26 (20 +, 6 -), Score: 6
2636490 One More Shooter Game, $0.99 | Metacritic: 0 | Released: 11/28/2023 0:00 | 0 achievements | Reviews: 0 (0 +, 0 -), Score: 0
2539600 Only Jump!, $0.99 | Metacritic: 0 | Released: 8/21/2023 0:00 | 0 achievements | Reviews: 1 (0 +, 1 -), Score: 0
2649380 Only Up Samarkand, $0.99 | Metacritic: 0 | Released: 12/1/2023 0:00 | 0 achievements | Reviews: 4 (2 +, 2 -), Score: 0
2645260 Orb Hunter, $0.99 | Metacritic: 0 | Released: 11/10/2023 0:00 | 6 achievements | Reviews: 7 (6 +, 1 -), Score: 0
2690050 ORB IN WONDER, $0.99 | Metacritic: 0 | Released: 12/2/2023 0:00 | 0 achievements | Reviews: 0 (0 +, 0 -), Score: 0
2549630 Osseous And Swordy, $0.99 | Metacritic: 0 | Released: 9/24/2023 0:00 | 0 achievements | Reviews: 1 (1 +, 0 -), Score: 0
2663510 Out Of Shapes, $0.99 | Metacritic: 0 | Released: 11/14/2023 0:00 | 0 achievements | Reviews: 0 (0 +, 0 -), Score: 0
2598290 P.R.O.T.O.C.O.O.L., $0.99 | Metacritic: 0 | Released: 9/29/2023 0:00 | 1 achievements | Reviews: 0 (0 +, 0 -), Score: 0
2712960 Palm Simulator, $0.99 | Metacritic: 0 | Released: 11/8/2024 0:00 | 5 achievements | Reviews: 2 (2 +, 0 -), Score: 0
2512690 PARADISE CLEANING - Sister X Slaves -, $0.99 | Metacritic: 0 | Released: 7/28/2023 0:00 | 11 achievements | Reviews: 2 (2 +, 0 -), Score: 0
2631470 Parkour Game 2, $0.99 | Metacritic: 0 | Released: 10/19/2023 0:00 | 0 achievements | Reviews: 2 (1 +, 1 -), Score: 0
1065690 Peku - Space Dragon, $0.99 | Metacritic: 0 | Released: 5/4/2019 0:00 | 13 achievements | Reviews: 1 (1 +, 0 -), Score: 0
2609120 Penis Hero - Adult Only, $0.99 | Metacritic: 0 | Released: 10/24/2023 0:00 | 0 achievements | Reviews: 22 (11 +, 11 -), Score: 5
1039060 pepeizq's Cities, $0.99 | Metacritic: 0 | Released: 6/2/2020 0:00 | 11 achievements | Reviews: 1 (0 +, 1 -), Score: 0
2698910 Pet Rock Duty, $0.99 | Metacritic: 0 | Released: 12/27/2023 0:00 | 0 achievements | Reviews: 11 (11 +, 0 -), Score: 7
2641060 Petris, $0.99 | Metacritic: 0 | Released: 2/16/2024 0:00 | 29 achievements | Reviews: 2 (2 +, 0 -), Score: 0
2689490 phantom unit 999, $0.99 | Metacritic: 0 | Released: 12/25/2023 0:00 | 0 achievements | Reviews: 0 (0 +, 0 -), Score: 0
1043040 Picross Floof, $0.99 | Metacritic: 0 | Released: 4/1/2019 0:00 | 5 achievements | Reviews: 8 (1 +, 7 -), Score: 0
2690960 Piece Link, $0.99 | Metacritic: 0 | Released: 3/11/2024 0:00 | 0 achievements | Reviews: 3 (3 +, 0 -), Score: 0
1037850 Pirate Cannons AHOY!, $0.99 | Metacritic: 0 | Released: 3/11/2019 0:00 | 10 achievements | Reviews: 1 (1 +, 0 -), Score: 0
1036780 Pokris, $0.99 | Metacritic: 0 | Released: 3/22/2019 0:00 | 18 achievements | Reviews: 3 (2 +, 1 -), Score: 0
2526390 Police Car Escape Simulator, $0.99 | Metacritic: 0 | Released: 8/4/2023 0:00 | 0 achievements | Reviews: 0 (0 +, 0 -), Score: 0
2618500 Polygon Survival, $0.99 | Metacritic: 0 | Released: 10/17/2023 0:00 | 0 achievements | Reviews: 11 (3 +, 8 -), Score: 4
2525680 PP, $0.99 | Metacritic: 0 | Released: 8/8/2023 0:00 | 0 achievements | Reviews: 9 (6 +, 3 -), Score: 0
1033880 Press F to pay respects, $0.99 | Metacritic: 0 | Released: 2/28/2019 0:00 | 100 achievements | Reviews: 117 (100 +, 17 -), Score: 8
1060590 Pretty - Exotic, $0.99 | Metacritic: 0 | Released: 5/5/2019 0:00 | 15 achievements | Reviews: 2 (2 +, 0 -), Score: 0
2531560 Project Arcade, $0.99 | Metacritic: 0 | Released: 12/21/2023 0:00 | 0 achievements | Reviews: 1 (1 +, 0 -), Score: 0
2659580 Project Scar, $0.99 | Metacritic: 0 | Released: 1/31/2024 0:00 | 0 achievements | Reviews: 0 (0 +, 0 -), Score: 0
2695420 Protecto, $0.99 | Metacritic: 0 | Released: 1/5/2024 0:00 | 0 achievements | Reviews: 0 (0 +, 0 -), Score: 0
2537490 Psyche60s, $0.99 | Metacritic: 0 | Released: 9/23/2023 0:00 | 0 achievements | Reviews: 1 (0 +, 1 -), Score: 0
2570150 Psychopath Hunt Chapter two, $0.99 | Metacritic: 0 | Released: 1/16/2024 0:00 | 0 achievements | Reviews: 10 (8 +, 2 -), Score: 7
2667240 Punch Jump, $0.99 | Metacritic: 0 | Released: 11/29/2023 0:00 | 0 achievements | Reviews: 0 (0 +, 0 -), Score: 0
1045340 PUSSY 2, $0.99 | Metacritic: 0 | Released: 3/22/2019 0:00 | 10 achievements | Reviews: 79 (67 +, 12 -), Score: 8
1067020 PUSSY 3, $0.99 | Metacritic: 0 | Released: 4/29/2019 0:00 | 15 achievements | Reviews: 121 (106 +, 15 -), Score: 8
1059500 PUZZLE: OCEAN, $0.99 | Metacritic: 0 | Released: 4/13/2019 0:00 | 30 achievements | Reviews: 6 (4 +, 2 -), Score: 0
1061240 Quiet Sleep, $0.99 | Metacritic: 0 | Released: 2/3/2021 0:00 | 0 achievements | Reviews: 7 (4 +, 3 -), Score: 0
2578340 Race Manager, $0.99 | Metacritic: 0 | Released: 10/2/2023 0:00 | 14 achievements | Reviews: 0 (0 +, 0 -), Score: 0
2505530 Ranphon, $0.99 | Metacritic: 0 | Released: 7/28/2023 0:00 | 0 achievements | Reviews: 1 (0 +, 1 -), Score: 0
2699950 Rated Sudoku, $0.99 | Metacritic: 0 | Released: 12/11/2023 0:00 | 9 achievements | Reviews: 0 (0 +, 0 -), Score: 0
1053600 Reactivated, $0.99 | Metacritic: 0 | Released: 4/23/2019 0:00 | 2 achievements | Reviews: 0 (0 +, 0 -), Score: 0
2588230 Real Drift Multiplayer 2, $0.99 | Metacritic: 0 | Released: 9/19/2023 0:00 | 0 achievements | Reviews: 1 (1 +, 0 -), Score: 0
2534860 Real Motocross Driving Simulator, $0.99 | Metacritic: 0 | Released: 8/14/2023 0:00 | 0 achievements | Reviews: 2 (0 +, 2 -), Score: 0
1035960 Recycler's Terminal, $0.99 | Metacritic: 0 | Released: 3/28/2019 0:00 | 0 achievements | Reviews: 0 (0 +, 0 -), Score: 0
2583290 Red Barrels Go Boom, $0.99 | Metacritic: 0 | Released: 10/6/2023 0:00 | 0 achievements | Reviews: 1 (1 +, 0 -), Score: 0
1033510 Red Room, $0.99 | Metacritic: 0 | Released: 8/24/2019 0:00 | 17 achievements | Reviews: 15 (7 +, 8 -), Score: 5
2608400 Regular Spacecraft - Defending the Mothership, $0.99 | Metacritic: 0 | Released: 12/4/2023 0:00 | 12 achievements | Reviews: 9 (9 +, 0 -), Score: 0
2556090 Rhino Puzzle, $0.99 | Metacritic: 0 | Released: 8/30/2023 0:00 | 5 achievements | Reviews: 2 (1 +, 1 -), Score: 0
2542190 Rhino Runner, $0.99 | Metacritic: 0 | Released: 8/18/2023 0:00 | 9 achievements | Reviews: 13 (10 +, 3 -), Score: 6
2578650 Rising Dead, $0.99 | Metacritic: 0 | Released: 10/7/2023 0:00 | 0 achievements | Reviews: 2 (0 +, 2 -), Score: 0
2531460 Robo Rush, $0.99 | Metacritic: 0 | Released: 11/10/2023 0:00 | 0 achievements | Reviews: 7 (7 +, 0 -), Score: 0
2621400 Robots Shooting Simulator, $0.99 | Metacritic: 0 | Released: 10/17/2023 0:00 | 0 achievements | Reviews: 2 (1 +, 1 -), Score: 0
2664260 Rogue Survivalist, $0.99 | Metacritic: 0 | Released: 12/5/2023 0:00 | 13 achievements | Reviews: 0 (0 +, 0 -), Score: 0
2607640 Rolling Toolman 2 Deathly Traps, $0.99 | Metacritic: 0 | Released: 10/2/2023 0:00 | 15 achievements | Reviews: 10 (8 +, 2 -), Score: 7
2557640 Ronshade, $0.99 | Metacritic: 0 | Released: 8/31/2023 0:00 | 6 achievements | Reviews: 0 (0 +, 0 -), Score: 0
1065230 Room of Pandora, $0.99 | Metacritic: 0 | Released: 4/24/2019 0:00 | 8 achievements | Reviews: 5 (2 +, 3 -), Score: 0
2644040 Ruff City, $0.99 | Metacritic: 0 | Released: 12/20/2023 0:00 | 0 achievements | Reviews: 22 (22 +, 0 -), Score: 7
1060240 Rumia in the darkness, $0.99 | Metacritic: 0 | Released: 7/31/2019 0:00 | 0 achievements | Reviews: 12 (11 +, 1 -), Score: 7
1037840 Running Ninja, $0.99 | Metacritic: 0 | Released: 3/13/2019 0:00 | 10 achievements | Reviews: 7 (3 +, 4 -), Score: 0
1045010 Russia Roguelike, $0.99 | Metacritic: 0 | Released: 6/17/2020 0:00 | 51 achievements | Reviews: 9 (9 +, 0 -), Score: 0
2679270 Rutabaga Desert Storm, $0.99 | Metacritic: 0 | Released: 1/12/2024 0:00 | 14 achievements | Reviews: 2 (2 +, 0 -), Score: 0
2570900 S.A.B.A.H. (Sun As Biased As Harmony), $0.99 | Metacritic: 0 | Released: 11/14/2024 0:00 | 0 achievements | Reviews: 0 (0 +, 0 -), Score: 0
1034060 Samosbor, $0.99 | Metacritic: 0 | Released: 2/6/2020 0:00 | 1 achievements | Reviews: 20 (13 +, 7 -), Score: 5
2582900 Scary Maze Game, $0.99 | Metacritic: 0 | Released: 9/28/2023 0:00 | 0 achievements | Reviews: 47 (38 +, 9 -), Score: 7
2514430 School Bus Driving Simulator, $0.99 | Metacritic: 0 | Released: 8/2/2023 0:00 | 0 achievements | Reviews: 5 (1 +, 4 -), Score: 0
2704030 School Curse, $0.99 | Metacritic: 0 | Released: 12/9/2023 0:00 | 0 achievements | Reviews: 1 (1 +, 0 -), Score: 0
2525440 SCRUMLORDS, $0.99 | Metacritic: 0 | Released: 8/29/2023 0:00 | 0 achievements | Reviews: 2 (1 +, 1 -), Score: 0
2641450 Selfie Girls, $0.99 | Metacritic: 0 | Released: 10/25/2023 0:00 | 40 achievements | Reviews: 1 (1 +, 0 -), Score: 0
2535490 Set Off Fireworks Together, $0.99 | Metacritic: 0 | Released: 11/7/2023 0:00 | 0 achievements | Reviews: 0 (0 +, 0 -), Score: 0
1036900 Seven Bullets Zombie Apocalypse, $0.99 | Metacritic: 0 | Released: 4/18/2019 0:00 | 12 achievements | Reviews: 6 (6 +, 0 -), Score: 0
1063800 SexyHub ❤️, $0.99 | Metacritic: 0 | Released: 4/5/2020 0:00 | 0 achievements | Reviews: 2 (1 +, 1 -), Score: 0
2644260 Shadow of Fear, $0.99 | Metacritic: 0 | Released: 11/26/2023 0:00 | 0 achievements | Reviews: 0 (0 +, 0 -), Score: 0
1046110 Shadow Runner, $0.99 | Metacritic: 0 | Released: 3/27/2019 0:00 | 0 achievements | Reviews: 0 (0 +, 0 -), Score: 0
2505440 SHANGHAI ANGEL - 18+ Adult Only, $0.99 | Metacritic: 0 | Released: 8/29/2023 0:00 | 0 achievements | Reviews: 12 (10 +, 2 -), Score: 7
2664460 Simon the Seahorse The Animated Adventure Game, $0.99 | Metacritic: 0 | Released: 11/20/2023 0:00 | 0 achievements | Reviews: 0 (0 +, 0 -), Score: 0
2678050 Sins Of Treatment, $0.99 | Metacritic: 0 | Released: 11/21/2023 0:00 | 0 achievements | Reviews: 0 (0 +, 0 -), Score: 0
2506360 Skinny Girls, $0.99 | Metacritic: 0 | Released: 8/25/2023 0:00 | 1 achievements | Reviews: 2 (2 +, 0 -), Score: 0
2582500 Sleepless Night, $0.99 | Metacritic: 0 | Released: 11/2/2023 0:00 | 24 achievements | Reviews: 0 (0 +, 0 -), Score: 0
2560940 Slime Experiments, $0.99 | Metacritic: 0 | Released: 9/13/2023 0:00 | 0 achievements | Reviews: 0 (0 +, 0 -), Score: 0
2719210 Slime Link, $0.99 | Metacritic: 0 | Released: 12/21/2023 | 34 achievements | Reviews: 1 (1 +, 0 -), Score: 0
2691390 Smoking Simulator, $0.99 | Metacritic: 0 | Released: 12/1/2023 0:00 | 2 achievements | Reviews: 27 (25 +, 2 -), Score: 7
2584470 Sniper Hunter Shooter, $0.99 | Metacritic: 0 | Released: 9/15/2023 0:00 | 0 achievements | Reviews: 3 (1 +, 2 -), Score: 0
2565180 Sniper Wild West Shooting Simulator, $0.99 | Metacritic: 0 | Released: 9/5/2023 0:00 | 0 achievements | Reviews: 1 (0 +, 1 -), Score: 0
1051160 Snowball Rush, $0.99 | Metacritic: 0 | Released: 4/5/2019 0:00 | 0 achievements | Reviews: 1 (1 +, 0 -), Score: 0
1046230 Soccer Player Simulator, $0.99 | Metacritic: 0 | Released: 3/27/2019 0:00 | 0 achievements | Reviews: 65 (50 +, 15 -), Score: 6
2695730 Sofi Origins, $0.99 | Metacritic: 0 | Released: 12/5/2023 0:00 | 1 achievements | Reviews: 3 (1 +, 2 -), Score: 0
2696520 Something, $0.99 | Metacritic: 0 | Released: 1/12/2024 0:00 | 0 achievements | Reviews: 79 (75 +, 4 -), Score: 8
2526270 Son Of Killwa, $0.99 | Metacritic: 0 | Released: 2/3/2024 0:00 | 0 achievements | Reviews: 11 (10 +, 1 -), Score: 7
1041780 Soul Valley, $0.99 | Metacritic: 0 | Released: 7/25/2019 0:00 | 9 achievements | Reviews: 12 (8 +, 4 -), Score: 5
2524590 Soul's Majesty Rise of Gilda, $0.99 | Metacritic: 0 | Released: 9/1/2023 0:00 | 0 achievements | Reviews: 2 (2 +, 0 -), Score: 0
2713430 Soulmaze, $0.99 | Metacritic: 0 | Released: 3/10/2024 0:00 | 4 achievements | Reviews: 2 (2 +, 0 -), Score: 0
2508630 Space Girls, $0.99 | Metacritic: 0 | Released: 10/6/2023 0:00 | 1 achievements | Reviews: 1 (1 +, 0 -), Score: 0
2611780 Space Shooter 24, $0.99 | Metacritic: 0 | Released: 10/5/2023 0:00 | 0 achievements | Reviews: 0 (0 +, 0 -), Score: 0
1036490 Space Smash, $0.99 | Metacritic: 0 | Released: 3/7/2019 0:00 | 27 achievements | Reviews: 28 (26 +, 2 -), Score: 7
2512280 Spectral Trail, $0.99 | Metacritic: 0 | Released: 10/7/2023 0:00 | 9 achievements | Reviews: 3 (3 +, 0 -), Score: 0
2556670 Spellslinger, $0.99 | Metacritic: 0 | Released: 1/11/2024 0:00 | 30 achievements | Reviews: 1 (1 +, 0 -), Score: 0
2677620 Spider Inferno, $0.99 | Metacritic: 0 | Released: 1/1/2024 0:00 | 0 achievements | Reviews: 0 (0 +, 0 -), Score: 0
2547240 Spleef Game, $0.99 | Metacritic: 0 | Released: 7/28/2024 0:00 | 0 achievements | Reviews: 1 (1 +, 0 -), Score: 0
2524860 Spot the Object, $0.99 | Metacritic: 0 | Released: 8/4/2023 0:00 | 8 achievements | Reviews: 4 (3 +, 1 -), Score: 0
2527040 Spy Racing, $0.99 | Metacritic: 0 | Released: 9/30/2023 0:00 | 6 achievements | Reviews: 0 (0 +, 0 -), Score: 0
2584700 Squaretrail: Lines of The Frame, $0.99 | Metacritic: 0 | Released: 6/8/2024 0:00 | 45 achievements | Reviews: 2 (2 +, 0 -), Score: 0
1049720 Sqvishy, $0.99 | Metacritic: 0 | Released: 4/29/2019 0:00 | 0 achievements | Reviews: 2 (2 +, 0 -), Score: 0
2680870 SSR, $0.99 | Metacritic: 0 | Released: 12/21/2023 0:00 | 0 achievements | Reviews: 0 (0 +, 0 -), Score: 0
2607090 Star Overhead, $0.99 | Metacritic: 0 | Released: 11/10/2023 0:00 | 6 achievements | Reviews: 4 (4 +, 0 -), Score: 0
2538250 Steampunk Runner, $0.99 | Metacritic: 0 | Released: 8/16/2023 0:00 | 0 achievements | Reviews: 0 (0 +, 0 -), Score: 0
2587900 Stellario, $0.99 | Metacritic: 0 | Released: 9/19/2023 0:00 | 0 achievements | Reviews: 2 (2 +, 0 -), Score: 0
2687820 StoicScape, $0.99 | Metacritic: 0 | Released: 8/21/2024 0:00 | 16 achievements | Reviews: 1 (1 +, 0 -), Score: 0
2510730 Strike Back, $0.99 | Metacritic: 0 | Released: 12/18/2023 0:00 | 10 achievements | Reviews: 0 (0 +, 0 -), Score: 0
2643520 Stylish Girls, $0.99 | Metacritic: 0 | Released: 10/26/2023 0:00 | 20 achievements | Reviews: 1 (1 +, 0 -), Score: 0
1049530 SUBS: Sharks And Submarines, $0.99 | Metacritic: 0 | Released: 7/25/2019 0:00 | 24 achievements | Reviews: 10 (8 +, 2 -), Score: 7
2508690 Sugar Girls, $0.99 | Metacritic: 0 | Released: 10/3/2023 0:00 | 1 achievements | Reviews: 1 (1 +, 0 -), Score: 0
2555320 Summon, $0.99 | Metacritic: 0 | Released: 10/12/2023 0:00 | 20 achievements | Reviews: 64 (62 +, 2 -), Score: 8
2715180 Summon My Girl, $0.99 | Metacritic: 0 | Released: 12/14/2023 0:00 | 0 achievements | Reviews: 1 (1 +, 0 -), Score: 0
2682960 Super Cave Run, $0.99 | Metacritic: 0 | Released: 12/2/2023 0:00 | 10 achievements | Reviews: 0 (0 +, 0 -), Score: 0
2513510 Superior IQ, $0.99 | Metacritic: 0 | Released: 7/30/2023 0:00 | 0 achievements | Reviews: 0 (0 +, 0 -), Score: 0
1061300 Surprising My Neighbors, $0.99 | Metacritic: 0 | Released: 4/26/2019 0:00 | 0 achievements | Reviews: 25 (22 +, 3 -), Score: 7
2557900 Survival on a deserted island, $0.99 | Metacritic: 0 | Released: 9/19/2023 0:00 | 0 achievements | Reviews: 4 (0 +, 4 -), Score: 0
2638880 Sut, $0.99 | Metacritic: 0 | Released: 10/27/2023 0:00 | 0 achievements | Reviews: 11 (11 +, 0 -), Score: 7
2621670 Swarmhunters, $0.99 | Metacritic: 0 | Released: 11/30/2023 0:00 | 25 achievements | Reviews: 1 (0 +, 1 -), Score: 0
2643630 Sweet Beauties, $0.99 | Metacritic: 0 | Released: 11/8/2023 0:00 | 40 achievements | Reviews: 1 (1 +, 0 -), Score: 0
2506400 Sweety Sweets, $0.99 | Metacritic: 0 | Released: 8/24/2023 0:00 | 1 achievements | Reviews: 1 (1 +, 0 -), Score: 0
2646440 SwordsGirl Harumi - Adult Only, $0.99 | Metacritic: 0 | Released: 12/5/2023 0:00 | 0 achievements | Reviews: 4 (1 +, 3 -), Score: 0
1060670 Taboos: Cracks, $0.99 | Metacritic: 0 | Released: 5/2/2019 0:00 | 12 achievements | Reviews: 205 (158 +, 47 -), Score: 6
2598480 Tale of the Shadow World, $0.99 | Metacritic: 0 | Released: 12/21/2023 0:00 | 0 achievements | Reviews: 1 (1 +, 0 -), Score: 0
1063990 Tank Battle Heroes: Esports War, $0.99 | Metacritic: 0 | Released: 2/3/2022 0:00 | 24 achievements | Reviews: 1 (1 +, 0 -), Score: 0
2603450 Tank War Shooting Simulator, $0.99 | Metacritic: 0 | Released: 9/29/2023 0:00 | 0 achievements | Reviews: 4 (4 +, 0 -), Score: 0
1051990 TARS, $0.99 | Metacritic: 0 | Released: 8/5/2020 0:00 | 0 achievements | Reviews: 4 (4 +, 0 -), Score: 0
2522860 The Abyss, $0.99 | Metacritic: 0 | Released: 12/10/2024 0:00 | 0 achievements | Reviews: 0 (0 +, 0 -), Score: 0
1052750 The Artefacts lost in the Galaxy, $0.99 | Metacritic: 0 | Released: 1/9/2020 0:00 | 0 achievements | Reviews: 0 (0 +, 0 -), Score: 0
2672300 The Castle, $0.99 | Metacritic: 0 | Released: 12/13/2023 0:00 | 0 achievements | Reviews: 1 (1 +, 0 -), Score: 0
1040720 The Color of the Roses, $0.99 | Metacritic: 0 | Released: 3/27/2019 0:00 | 0 achievements | Reviews: 2 (1 +, 1 -), Score: 0
2658490 The Dark Survivors, $0.99 | Metacritic: 0 | Released: 2/10/2024 0:00 | 0 achievements | Reviews: 3 (3 +, 0 -), Score: 0
2548260 The Devil's Typist, $0.99 | Metacritic: 0 | Released: 2/5/2024 0:00 | 0 achievements | Reviews: 0 (0 +, 0 -), Score: 0
2626100 The Energy Warrior / 能量战士, $0.99 | Metacritic: 0 | Released: 11/14/2023 0:00 | 0 achievements | Reviews: 0 (0 +, 0 -), Score: 0
2599260 The Ghosts of Terinor, $0.99 | Metacritic: 0 | Released: 9/27/2023 0:00 | 0 achievements | Reviews: 1 (0 +, 1 -), Score: 0
1050810 The Hunt in the Forest, $0.99 | Metacritic: 0 | Released: 4/7/2019 0:00 | 0 achievements | Reviews: 13 (3 +, 10 -), Score: 4
2507700 The Infirmity, $0.99 | Metacritic: 0 | Released: 2/20/2024 0:00 | 0 achievements | Reviews: 5 (3 +, 2 -), Score: 0
2521480 The Lands of Hyberian, $0.99 | Metacritic: 0 | Released: 2/23/2024 0:00 | 56 achievements | Reviews: 12 (12 +, 0 -), Score: 7
2701340 The Last 66 Days, $0.99 | Metacritic: 0 | Released: 12/31/2023 0:00 | 0 achievements | Reviews: 0 (0 +, 0 -), Score: 0
